zeo_id,largest_included_sphere,largest_free_sphere,largest_included_sphere_along_free_sphere_path,Unitcell_volume:,Density:,ASA_A^2:,NASA_A^2:,num_1d_chan,num_2d_chan,num_3d_chan,num_chan
h8272863,4.69988,2.97439,3.77181,2848.08,1.96175,283.791,17.3357,0,0,0,0
h8272866,6.91588,5.89451,6.91588,4051.9,1.96988,326.842,2.72438,2,0,0,2
h8272874,10.32055,9.30188,10.32055,5231.11,1.6784,543.006,0.719221,2,0,0,2
h8272875,8.63104,7.49332,8.63104,5364.27,1.63674,587.881,0.848243,2,0,0,2
h8272877,8.52313,7.48793,7.94077,6720.7,1.54393,815.847,1.05612,2,0,0,2
h8272880,6.91618,5.92352,6.91618,4295.01,1.85838,364.609,86.3865,2,0,0,2
h8272883,5.48621,3.96774,5.48621,4517.61,1.76681,454.145,114.42,4,0,0,4
h8272884,4.32569,4.0813,4.31603,4073.63,1.76343,709.598,22.4926,4,0,0,4
h8272886,8.85199,7.59501,8.85199,6193.87,1.67525,516.688,207.737,2,0,0,2
h8272896,6.78867,5.4841,6.78867,3952.16,1.81763,353.217,45.2329,2,0,0,2
h8272897,7.06479,5.85532,7.06479,5419.37,1.76738,377.243,196.903,2,0,0,2
h8272898,5.41941,4.12732,4.99285,6030.33,1.72068,828.087,21.6191,6,0,0,6
h8272902,4.29268,3.27622,4.20122,4023.16,1.78556,585.083,0.0,4,0,0,4
h8272908,7.16902,5.90478,7.16902,3920.37,1.83237,371.076,26.8046,2,0,0,2
h8272909,6.95268,5.93789,6.95268,3904.51,1.83981,351.795,0.75788,2,0,0,2
h8272913,7.22444,5.6509,7.22444,5863.19,1.76973,604.004,50.4578,2,0,0,2
h8272917,7.83027,4.873,7.83027,4625.23,1.89827,559.998,0.0,0,2,0,2
h8272920,4.22248,3.11495,4.20218,4648.0,1.71724,1039.0,0.0,2,0,0,2
h8272924,5.33703,3.41884,5.33703,5683.23,1.68532,1197.14,0.0,6,0,0,6
h8272925,5.45356,3.46579,5.45356,5542.32,1.72817,1070.19,0.0,4,0,0,4
h8272930,5.06529,3.14749,5.06529,5165.2,1.85435,485.744,64.5641,2,0,0,2
h8272932,4.7867,3.12751,4.76476,3637.26,1.75555,492.723,21.5743,6,0,0,6
h8272933,5.31924,3.10764,3.96762,4158.71,1.72736,685.546,0.0,8,0,0,8
h8272934,4.98436,3.33871,4.98436,5492.71,1.74378,818.781,7.48216,6,0,0,6
h8272938,4.28277,3.13924,3.75807,5919.63,1.75286,1079.67,0.547391,4,0,0,4
h8272941,5.47676,3.41736,5.47676,4611.33,1.7309,872.423,0.0,4,0,0,4
h8272945,5.10231,3.22756,5.10231,5152.42,1.85895,465.539,66.5265,2,0,0,2
h8272947,5.09958,4.29572,5.09958,5942.97,1.74597,626.561,132.941,4,0,0,4
h8272953,5.66785,4.08652,5.66785,5989.62,1.73237,753.396,35.6667,6,0,0,6
h8272955,4.62284,2.95857,4.62284,3551.0,1.7982,453.983,3.66299,0,0,0,0
h8272961,6.01802,4.08524,6.00305,4992.9,1.75848,586.093,156.286,4,0,0,4
h8272969,6.76267,5.80481,6.744,4570.75,1.92089,350.105,74.5838,2,0,0,2
h8272970,4.53856,3.24806,4.22599,5472.84,1.89596,528.43,78.4845,6,0,0,6
h8272971,4.41399,3.08813,4.41399,5430.16,1.91086,523.642,94.3107,6,0,0,6
h8272976,6.35558,4.47376,6.35558,5923.6,1.88643,746.162,0.0,2,0,0,2
h8272989,4.63834,3.28338,4.29115,5174.87,1.85089,643.969,10.4793,2,0,0,2
h8272993,6.78083,5.72492,6.78083,3859.73,1.86116,343.7,22.6568,2,0,0,2
h8272995,5.81211,3.37025,5.80644,3063.73,1.82367,326.49,97.0678,0,1,0,1
h8272996,6.74159,3.02846,4.44685,5807.09,1.92428,616.688,12.0003,2,0,0,2
h8272997,7.94553,6.64986,7.94553,6566.03,1.82342,385.156,127.561,2,0,0,2
h8273000,5.30744,4.38062,5.2943,5850.26,1.77364,717.243,10.5534,4,0,0,4
h8273001,4.30661,3.301,4.30653,3967.79,1.81047,538.724,22.995,4,0,0,4
h8273002,7.11441,6.48213,7.10765,5433.72,1.76271,403.055,221.964,2,0,0,2
h8273003,4.96021,3.4496,4.13884,4541.38,1.75756,704.14,0.232428,2,0,0,2
h8273013,4.57303,3.27198,4.14143,4774.31,2.00617,515.188,0.0,2,0,0,2
h8273017,5.15569,4.01952,5.15569,4825.29,1.81956,523.068,9.56464,6,0,0,6
h8273021,6.49004,4.80138,6.49004,5917.15,1.75359,538.26,313.931,2,0,0,2
h8273027,5.21893,3.49796,5.21893,5389.91,1.77704,716.322,6.04632,8,0,0,8
h8273028,3.8732,3.44913,3.72501,4481.84,1.959,262.211,127.616,2,0,0,2
h8273029,5.10188,3.43049,4.1485,4864.43,1.80492,606.701,15.0812,6,0,0,6
h8273036,4.05045,3.00007,4.04526,5573.18,1.86182,471.314,126.078,2,0,0,2
h8273044,4.25233,3.17074,4.25233,5160.06,1.8562,571.157,20.6473,6,0,0,6
h8273046,4.097,3.35207,4.04568,4627.45,1.89736,463.65,9.3302,6,0,0,6
h8273051,6.71056,5.71972,6.71056,5172.72,1.85165,447.264,35.0916,2,0,0,2
h8273060,6.27888,4.49628,6.27888,4007.97,1.99147,360.888,2.97246,2,0,0,2
h8273077,4.45112,2.98886,4.45112,3702.56,1.94017,328.011,0.0,0,0,0,0
h8273091,4.19219,3.1312,4.19165,4896.68,1.79303,774.643,19.3597,4,0,0,4
h8273096,7.32071,6.77504,7.32071,3752.89,1.70146,545.466,0.205272,0,1,0,1
h8273099,4.1503,2.98649,4.06301,3826.86,1.87714,392.336,3.605,0,0,0,0
h8273103,6.26049,4.47819,6.25573,5862.83,1.90598,707.723,72.6073,0,2,0,2
h8273111,4.89316,2.91148,4.89316,5727.6,1.81163,460.711,240.933,0,0,0,0
h8273113,4.32564,2.9989,4.27316,5078.71,1.88593,249.285,208.612,0,0,0,0
h8273123,8.19432,5.36313,8.19432,6034.07,1.85189,759.95,0.0,2,0,0,2
h8273141,4.87745,3.22255,4.30133,5613.01,1.84861,605.677,15.5681,6,0,0,6
h8273149,4.8275,3.13393,4.47308,5513.72,1.8819,509.445,32.5696,2,0,0,2
